raceId,driverId,constructorId,qualifying_position,q1,q2,q3,points,position,wins,resultId,grid,final_position,positionOrder,points_per_race,laps,fastestLap,fastestLapTime,fastestLapSpeed,statusId,constructor_points,constructor_position,constructor_wins,avg_position_last_5,points_before_race,circuitId,year,avg_position_circuit,grid_qual_diff,avg_position_per_season,avg_points_per_race_season,avg_constructor_position_season,avg_fastest_lap_speed,avg_pit_stop_duration,avg_lap_time_circuit
27,1,1,1,75.218,74.603,75.666,58.0,1,4,189,1,1,1,10.0,67,17,76.039,216.552,1,86.0,3,4,6.6,585.0,10,2008,6.142857142857143,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,84.37498681318681
28,1,1,1,79.376,79.473,80.899,62.0,1,4,213,1,5,5,4.0,70,15,81.493,193.533,1,100.0,2,5,6.4,643.0,11,2008,3.388888888888889,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,87.65004624277456
29,1,1,2,98.464,97.95400000000001,99.199,70.0,1,4,230,2,2,2,8.0,57,16,98.884,197.285,1,113.0,2,5,7.2,705.0,12,2008,5.8,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,104.58954416961132
30,1,1,1,106.887,106.088,107.338,76.0,1,4,251,1,3,3,6.0,44,20,108.13499999999999,233.175,1,119.0,2,5,3.8,775.0,13,2008,7.333333333333333,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,117.1395017301038
31,1,1,15,95.394,99.265,,78.0,1,4,275,15,7,7,2.0,53,52,89.721,232.44,1,129.0,2,5,2.4,851.0,14,2008,5.944444444444445,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,90.9035908045977
32,1,1,2,104.501,104.932,105.465,84.0,1,4,291,2,3,3,6.0,61,14,106.072,171.969,1,135.0,1,5,3.6,929.0,15,2008,6.866666666666666,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,115.68100244798042
33,1,1,1,78.071,77.462,78.404,84.0,1,4,320,1,12,12,0.0,67,65,79.56,206.47,1,135.0,2,5,4.0,1013.0,16,2008,6.5,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,95.04008208955223
34,1,1,1,95.566,94.947,96.303,94.0,1,5,329,1,1,1,10.0,56,13,96.325,203.722,1,145.0,2,6,5.4,1097.0,17,2008,4.214285714285714,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,106.5664419525066
35,1,1,4,72.213,71.856,72.83,98.0,1,5,353,4,5,5,4.0,71,31,74.159,209.177,1,151.0,2,6,5.2,1191.0,18,2008,6.352941176470588,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,86.4187908777969
36,1,1,4,86.674,85.577,86.755,6.0,3,0,371,4,3,3,6.0,58,20,86.351,221.083,1,14.0,11,0,5.6,1289.0,1,2007,4.8,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,99.37417291414752
37,1,1,4,95.02799999999999,94.65,96.045,14.0,3,0,392,4,2,2,8.0,56,22,96.701,206.355,1,32.0,11,1,4.8,1295.0,2,2007,5.181818181818182,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,110.49191304347826
38,1,1,2,92.58,91.752,92.935,22.0,3,0,414,2,2,2,8.0,57,18,94.27000000000001,206.674,1,44.0,11,1,4.6,1309.0,3,2007,3.7058823529411766,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,102.34915954118874
39,1,1,4,81.12,80.713,81.785,30.0,1,0,436,4,2,2,8.0,65,20,82.876,202.205,1,58.0,11,1,2.6,1331.0,4,2007,4.944444444444445,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,87.52436436884511
40,1,1,2,75.685,75.479,75.905,38.0,2,0,458,2,2,2,8.0,78,28,75.372,159.528,1,76.0,11,2,2.8,1361.0,6,2007,4.588235294117647,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,88.37359816653934
41,1,1,1,76.576,75.486,75.707,48.0,1,1,479,1,1,1,10.0,70,37,76.494,205.239,1,88.0,11,3,2.2,1399.0,7,2007,5.666666666666667,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,81.84099120879121
42,1,1,1,72.563,72.065,72.331,58.0,1,2,501,1,1,1,10.0,73,20,73.222,206.101,1,106.0,11,4,1.8,1447.0,19,2007,1.0,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,74.93102739726028
43,1,1,2,74.805,74.795,75.104,64.0,1,2,525,2,3,3,6.0,70,39,76.587,207.34,1,114.0,11,4,1.6,1505.0,8,2007,6.5,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,78.93656428571428
44,1,1,1,79.885,79.4,79.997,70.0,1,2,547,1,3,3,6.0,59,11,81.675,226.6,1,128.0,11,5,1.8,1569.0,9,2007,2.9473684210526314,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,106.65777998017839
45,1,1,10,91.587,91.185,93.833,70.0,1,2,575,10,9,9,0.0,59,29,93.40100000000001,198.421,11,138.0,11,5,2.0,1639.0,20,2007,6.8,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,104.65726174496645
46,1,1,2,79.57,79.301,79.781,80.0,1,3,589,1,1,1,10.0,70,13,80.17099999999999,196.724,1,138.0,11,6,3.4,1709.0,11,2007,3.388888888888889,-1,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,87.65004624277456
47,1,1,2,87.513,86.936,87.373,84.0,1,3,615,2,5,5,4.0,58,17,87.963,218.464,1,148.0,11,6,3.4,1789.0,5,2007,4.428571428571429,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,93.98132019704433
48,1,1,2,81.956,81.746,82.03399999999999,92.0,1,3,634,2,2,2,8.0,53,17,82.936,251.456,1,166.0,11,7,4.2,1873.0,14,2007,5.944444444444445,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,90.9035908045977
49,1,1,4,106.437,105.132,106.406,97.0,1,3,658,4,4,4,5.0,44,41,108.215,233.002,1,192.0,11,7,4.0,1965.0,13,2007,7.333333333333333,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,117.1395017301038
50,1,1,1,85.489,84.753,85.368,107.0,1,4,677,1,1,1,10.0,67,27,88.193,186.259,1,202.0,11,8,4.2,2062.0,16,2007,6.5,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,95.04008208955223
51,1,1,1,95.798,95.898,95.908,107.0,1,4,717,1,0,19,0.0,30,22,103.131,190.278,20,210.0,11,8,2.6,2169.0,17,2007,4.214285714285714,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,106.5664419525066
52,1,1,2,73.033,72.29599999999999,72.082,109.0,2,4,727,2,7,7,2.0,70,58,72.506,213.946,11,218.0,11,8,6.2,2276.0,18,2007,6.352941176470588,0,3.9411764705882355,6.411764705882353,11.0,201.26410704225353,75.92492222222222,86.4187908777969
337,1,1,4,115.34100000000001,114.707,115.217,15.0,3,0,20325,4,3,3,15.0,49,42,119.56,189.665,1,21.0,2,0,6.6,2385.0,3,2010,3.7058823529411766,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,102.34915954118874
338,1,1,11,85.04599999999999,85.184,,23.0,4,0,20352,11,6,6,8.0,58,47,88.506,215.7,1,54.0,2,1,6.8,2400.0,1,2010,4.8,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,99.37417291414752
339,1,1,20,113.05,,,31.0,6,0,20376,20,6,6,8.0,56,32,97.745,204.151,1,66.0,2,1,7.2,2423.0,2,2010,5.181818181818182,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,110.49191304347826
340,1,1,6,95.64099999999999,94.928,95.03399999999999,49.0,4,0,20396,6,2,2,18.0,56,13,102.061,192.273,1,109.0,1,2,8.2,2454.0,17,2010,4.214285714285714,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,106.5664419525066
341,1,1,3,81.723,81.41499999999999,80.82900000000001,49.0,6,0,20432,3,14,14,0.0,64,59,84.357,198.655,29,119.0,1,2,4.8,2503.0,4,2010,4.944444444444445,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,87.52436436884511
342,1,1,5,75.676,74.527,74.432,59.0,7,0,20447,5,5,5,10.0,78,68,76.219,157.755,1,129.0,3,2,6.2,2552.0,6,2010,4.588235294117647,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,88.37359816653934
343,1,1,2,87.667,87.013,86.43299999999999,84.0,3,1,20467,2,1,1,25.0,58,54,90.075,213.342,1,172.0,1,3,6.6,2611.0,5,2010,4.428571428571429,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,93.98132019704433
344,1,1,1,75.889,75.528,75.105,109.0,1,2,20491,1,1,1,25.0,70,62,77.806,201.778,1,215.0,1,4,5.6,2695.0,7,2010,5.666666666666667,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,81.84099120879121
345,1,1,3,98.697,98.158,97.969,127.0,1,2,20516,3,2,2,18.0,57,56,99.156,196.744,1,248.0,1,4,4.6,2804.0,12,2010,5.8,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,104.58954416961132
346,1,1,4,91.297,91.118,90.556,145.0,1,2,20540,4,2,2,18.0,52,43,92.75800000000001,228.633,1,278.0,1,4,4.6,2931.0,9,2010,2.9473684210526314,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,106.65777998017839
347,1,1,6,75.505,74.488,74.566,157.0,1,2,20566,6,4,4,12.0,67,65,76.503,215.238,1,300.0,1,4,2.2,3076.0,10,2010,6.142857142857143,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,84.37498681318681
348,1,1,5,81.455,80.877,80.499,157.0,2,2,20606,5,0,20,0.0,23,22,86.258,182.842,6,304.0,2,4,2.0,3233.0,11,2010,3.388888888888889,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,87.65004624277456
349,1,1,2,116.706,106.211,105.863,182.0,1,3,20611,2,1,1,25.0,44,32,109.069,231.178,1,329.0,2,5,5.8,3390.0,13,2010,7.333333333333333,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,117.1395017301038
350,1,1,5,82.83,82.394,82.623,182.0,2,3,20657,5,0,23,0.0,0,0,,0.0,4,347.0,2,5,5.8,3572.0,14,2010,5.944444444444445,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,90.9035908045977
351,1,1,3,108.29599999999999,106.042,105.571,182.0,3,3,20677,3,0,19,0.0,35,31,110.75,164.901,4,359.0,2,5,10.0,3754.0,15,2010,6.866666666666666,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,115.68100244798042
352,1,1,3,92.809,91.523,91.169,192.0,4,3,20687,8,5,5,10.0,53,35,95.182,219.633,1,381.0,2,5,13.4,3936.0,22,2010,4.785714285714286,5,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,107.71330862329803
353,1,1,4,97.113,96.197,96.062,210.0,3,3,20708,4,2,2,18.0,55,42,110.43,183.048,1,399.0,2,5,13.6,4128.0,35,2010,4.75,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,127.71418636363636
354,1,1,4,79.931,78.92099999999999,75.747,222.0,4,3,20734,4,4,4,12.0,71,66,73.851,210.049,1,421.0,2,5,10.0,4338.0,18,2010,6.352941176470588,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,86.4187908777969
355,1,1,2,100.33500000000001,100.119,99.425,240.0,4,3,20756,2,2,2,18.0,55,47,101.274,197.428,1,454.0,2,5,10.6,4560.0,24,2010,5.875,0,6.421052631578948,12.631578947368421,1.6842105263157894,201.26410704225353,75.92492222222222,102.6986173594132
841,1,1,2,85.384,84.595,84.307,18.0,2,0,20780,2,2,2,18.0,58,41,90.314,211.382,1,26.0,2,0,6.4,4800.0,1,2011,4.8,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,99.37417291414752
842,1,1,2,96.86099999999999,95.852,94.97399999999999,22.0,3,0,20808,2,8,8,4.0,56,54,101.512,196.575,1,48.0,2,0,3.0,4818.0,2,2011,5.181818181818182,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,110.49191304347826
843,1,1,3,96.09100000000001,94.48599999999999,94.463,47.0,2,1,20825,3,1,1,25.0,56,48,100.41499999999999,195.424,1,85.0,2,1,3.6,4840.0,17,2011,4.214285714285714,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,106.5664419525066
844,1,1,4,87.09100000000001,86.066,85.595,59.0,2,1,20852,4,4,4,12.0,58,48,90.108,213.264,1,105.0,2,1,3.4,4887.0,5,2011,4.428571428571429,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,93.98132019704433
845,1,1,3,84.37,82.148,81.961,77.0,2,1,20874,3,2,2,18.0,66,52,86.727,193.227,1,138.0,2,1,3.4,4946.0,4,2011,4.944444444444445,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,87.52436436884511
846,1,1,7,75.207,74.275,75.28,85.0,2,1,20902,9,6,6,8.0,78,54,77.84700000000001,154.456,1,161.0,2,1,3.4,5023.0,6,2011,4.588235294117647,2,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,88.37359816653934
847,1,1,5,74.114,73.926,73.565,85.0,4,1,20943,5,0,24,0.0,7,7,97.761,160.591,4,186.0,2,2,4.2,5108.0,7,2011,5.666666666666667,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,81.84099120879121
848,1,1,3,99.244,97.727,97.38,97.0,4,1,20947,3,4,4,12.0,57,47,102.947,189.499,1,206.0,2,2,7.4,5193.0,12,2011,5.8,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,104.58954416961132
849,1,1,10,93.581,92.505,92.376,109.0,4,1,20971,10,4,4,12.0,52,39,96.18,220.499,1,218.0,2,2,8.0,5290.0,9,2011,2.9473684210526314,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,106.65777998017839
850,1,1,2,92.934,90.998,90.134,134.0,3,2,20992,2,1,1,25.0,60,59,94.30199999999999,196.526,1,243.0,2,3,8.0,5399.0,20,2011,6.8,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,104.65726174496645
851,1,1,2,81.636,81.105,79.97800000000001,146.0,3,2,21019,2,4,4,12.0,70,61,83.661,188.517,1,280.0,2,4,7.8,5533.0,11,2011,3.388888888888889,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,87.65004624277456
852,1,1,2,123.008,122.823,108.72999999999999,146.0,5,2,21061,2,0,22,0.0,12,8,115.64699999999999,218.029,4,295.0,2,4,7.4,5679.0,13,2011,7.333333333333333,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,117.1395017301038
853,1,1,2,83.976,83.172,82.725,158.0,5,2,21067,2,4,4,12.0,53,52,86.187,241.971,1,325.0,2,4,7.0,5825.0,14,2011,5.944444444444445,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,90.9035908045977
854,1,1,4,107.01400000000001,106.82900000000001,104.809,168.0,5,2,21092,4,5,5,10.0,61,54,110.832,164.779,1,353.0,2,4,7.0,5983.0,15,2011,6.866666666666666,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,115.68100244798042
855,1,1,3,92.843,91.139,90.617,178.0,5,2,21116,3,5,5,10.0,53,49,97.64500000000001,214.093,1,388.0,2,5,7.2,6151.0,22,2011,4.785714285714286,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,107.71330862329803
856,1,1,1,97.525,96.52600000000001,95.82,196.0,5,2,21137,1,2,2,18.0,55,54,100.459,201.216,1,418.0,2,5,8.0,6329.0,35,2011,4.75,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,127.71418636363636
857,1,1,2,86.563,85.019,84.474,202.0,5,2,21166,5,7,7,6.0,60,58,88.721,207.955,1,442.0,2,5,7.6,6525.0,68,2011,5.666666666666667,3,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,91.825
858,1,1,2,99.782,98.434,98.622,227.0,5,3,21184,2,1,1,25.0,55,51,103.461,193.255,1,482.0,2,6,4.6,6727.0,24,2011,5.875,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,102.6986173594132
859,1,1,4,73.361,72.811,72.48,227.0,5,3,21229,4,0,22,0.0,46,35,77.209,200.914,6,497.0,2,6,4.0,6954.0,18,2011,6.352941176470588,0,6.7368421052631575,11.947368421052632,2.0,201.26410704225353,75.92492222222222,86.4187908777969
860,1,1,1,86.8,85.626,84.922,15.0,3,0,21234,1,3,3,15.0,58,57,89.538,213.214,1,40.0,1,1,7.4,7181.0,1,2012,4.8,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,99.37417291414752
861,1,1,1,97.813,97.106,96.219,30.0,2,0,21258,1,3,3,15.0,56,50,101.539,196.523,1,55.0,1,1,7.0,7196.0,2,2012,5.181818181818182,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,110.49191304347826
862,1,1,2,96.763,95.902,95.626,45.0,1,0,21282,7,3,3,15.0,56,40,100.53,195.201,1,88.0,1,1,7.2,7226.0,17,2012,4.214285714285714,5,9.6,9.5,2.25,201.26410704225353,75.92492222222222,106.5664419525066
863,1,1,2,94.813,93.209,92.52000000000001,49.0,2,0,21311,2,8,8,4.0,57,38,97.733,199.351,1,92.0,2,1,6.4,7271.0,3,2012,3.7058823529411766,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,102.34915954118874
864,1,1,1,82.583,82.465,81.707,53.0,3,0,21335,24,8,8,4.0,66,50,88.918,188.465,1,98.0,2,1,7.8,7320.0,4,2012,4.944444444444445,23,9.6,9.5,2.25,201.26410704225353,75.92492222222222,87.52436436884511
865,1,1,4,76.063,75.166,74.583,63.0,4,0,21356,3,5,5,10.0,78,46,78.806,152.577,1,108.0,2,1,5.0,7373.0,6,2012,4.588235294117647,-1,9.6,9.5,2.25,201.26410704225353,75.92492222222222,88.37359816653934
866,1,1,2,74.891,74.371,74.087,88.0,1,1,21376,2,1,1,25.0,70,59,77.02,203.837,1,133.0,2,2,5.4,7436.0,7,2012,5.666666666666667,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,81.84099120879121
867,1,1,2,99.169,98.616,98.41,88.0,3,1,21418,2,19,19,0.0,55,43,104.007,187.568,4,137.0,2,2,5.0,7524.0,12,2012,5.8,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,104.58954416961132
868,1,1,8,107.43299999999999,114.89699999999999,113.543,92.0,4,1,21431,8,8,8,4.0,52,44,96.173,220.515,1,142.0,4,2,8.2,7612.0,9,2012,2.9473684210526314,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,106.65777998017839
869,1,1,8,76.221,97.36500000000001,104.186,92.0,5,1,21471,7,0,24,0.0,56,34,80.09100000000001,205.596,29,160.0,3,2,8.2,7704.0,10,2012,6.142857142857143,-1,9.6,9.5,2.25,201.26410704225353,75.92492222222222,84.37498681318681
870,1,1,1,81.794,81.06,80.953,117.0,4,2,21472,1,1,1,25.0,69,65,85.67699999999999,184.082,1,193.0,2,3,11.4,7796.0,11,2012,3.388888888888889,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,87.65004624277456
871,1,1,8,109.60499999999999,108.563,108.394,117.0,5,2,21518,7,0,23,0.0,0,0,,0.0,4,218.0,2,4,10.6,7913.0,13,2012,7.333333333333333,-1,9.6,9.5,2.25,201.26410704225353,75.92492222222222,117.1395017301038
872,1,1,1,84.211,84.394,84.01,142.0,2,3,21520,1,1,1,25.0,53,52,88.42699999999999,235.841,1,243.0,2,5,15.0,8030.0,14,2012,5.944444444444445,0,9.6,9.5,2.25,201.26410704225353,75.92492222222222,90.9035908045977
